Distribution,Skewness,Sample_Size,Upper_Tail,Lower_Tail,Tail_Sum,Tail_Difference,Sampling_Mean,Sampling_SD,Sampling_Skewness,Sampling_Kurtosis,Population_Mean,Population_SD
Exponential{Float64}(θ=1.0),2.0,1,0.0517337,0.0,0.0517337,0.0517337,0.9993853151561786,0.9992758253267136,1.9985202915999642,5.98473738026075,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,5,0.0433728,0.0004512,0.043824,0.042921600000000004,0.9999519166931897,0.4472281623557235,0.8960061059487237,1.2044365160281485,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,10,0.0392602,0.0058426,0.0451028,0.033417600000000006,1.0000450597688448,0.3161832718566062,0.6319115974937847,0.5976625087414358,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,20,0.0358291,0.011402,0.047231100000000005,0.0244271,0.999997538493675,0.22360332345800032,0.44812621603155983,0.30116407742114815,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,30,0.0341037,0.0140669,0.0481706,0.0200368,1.0000130127518856,0.18261581937671476,0.3652996097111756,0.2007844164809809,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,40,0.0329875,0.0155609,0.048548400000000005,0.0174266,1.0000098584226433,0.15812675866866407,0.3170146164888523,0.14971696347588903,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,50,0.0321746,0.0166394,0.048813999999999996,0.015535199999999999,1.0000480147256423,0.1414241067214726,0.2827367239781189,0.11969014511084453,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,60,0.0316739,0.0173395,0.0490134,0.014334399999999997,1.000013336462672,0.12911723480120457,0.25911363094740075,0.09938499211364338,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,70,0.0311956,0.0179057,0.0491013,0.0132899,1.000032974944423,0.11950727836874671,0.24054495580691632,0.08844704744813559,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,80,0.0307773,0.0183979,0.0491752,0.012379400000000002,1.0000256621893102,0.11175895077751509,0.22397283474836946,0.07818859153924995,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,90,0.0304261,0.0187683,0.0491944,0.0116578,1.0000241822320863,0.10536996463610344,0.2105198047011924,0.06515050377281728,1.0,1.0
