Distribution,Params,Skewness,Sample_Size,Upper_Tail,Lower_Tail,Tail_Sum,Tail_Difference
LogNormal,"[0.0, 1.4865]",31.65266,5,0.03107,0.0,0.03107,0.03107
LogNormal,"[0.0, 1.4865]",31.65266,10,0.03505,0.0,0.03505,0.03505
LogNormal,"[0.0, 1.4865]",31.65266,20,0.03658,0.0,0.03658,0.03658
LogNormal,"[0.0, 1.4865]",31.65266,30,0.03788,0.0,0.03788,0.03788
LogNormal,"[0.0, 1.4865]",31.65266,40,0.03884,0.0,0.03884,0.03884
LogNormal,"[0.0, 1.4865]",31.65266,100,0.03951,0.00017,0.03968000000000001,0.03934
LogNormal,"[0.0, 1.4865]",31.65266,200,0.0373,0.00142,0.03872,0.03588
LogNormal,"[0.0, 1.4865]",31.65266,300,0.03812,0.00298,0.0411,0.035140000000000005
LogNormal,"[0.0, 1.4865]",31.65266,400,0.03722,0.0043,0.04152,0.032920000000000005
LogNormal,"[0.0, 1.4865]",31.65266,1000,0.0356,0.00868,0.04428,0.02692
LogNormal,"[0.0, 1.4865]",31.65266,2000,0.03526,0.01143,0.046689999999999995,0.02383
LogNormal,"[0.0, 1.4865]",31.65266,3000,0.03354,0.01358,0.04712,0.01996
LogNormal,"[0.0, 1.4865]",31.65266,4000,0.0327,0.0141,0.0468,0.0186
LogNormal,"[0.0, 1.4865]",31.65266,5000,0.03205,0.0157,0.04775,0.016350000000000003
LogNormal,"[0.0, 1.4865]",31.65266,10000,0.03047,0.01801,0.04848,0.012459999999999999
Poisson,[0.001],31.6228,5,0.00522,0.0,0.00522,0.00522
Poisson,[0.001],31.6228,10,0.00993,0.0,0.00993,0.00993
Poisson,[0.001],31.6228,20,0.02019,0.0,0.02019,0.02019
Poisson,[0.001],31.6228,30,0.03035,0.0,0.03035,0.03035
Poisson,[0.001],31.6228,40,0.04022,0.0,0.04022,0.04022
Poisson,[0.001],31.6228,100,0.09611,0.0,0.09611,0.09611
Poisson,[0.001],31.6228,200,0.01797,0.0,0.01797,0.01797
Poisson,[0.001],31.6228,300,0.03781,0.0,0.03781,0.03781
Poisson,[0.001],31.6228,400,0.06296,0.0,0.06296,0.06296
Poisson,[0.001],31.6228,1000,0.07977,0.0,0.07977,0.07977
Poisson,[0.001],31.6228,2000,0.05327,0.0,0.05327,0.05327
Poisson,[0.001],31.6228,3000,0.03385,0.0,0.03385,0.03385
Poisson,[0.001],31.6228,4000,0.0525,0.01821,0.07071,0.03429
Poisson,[0.001],31.6228,5000,0.0319,0.00663,0.038529999999999995,0.025269999999999997
Poisson,[0.001],31.6228,10000,0.02693,0.01066,0.03759,0.01627
Gamma,[0.02],20.0,5,0.03894,0.0,0.03894,0.03894
Gamma,[0.02],20.0,10,0.047,0.0,0.047,0.047
Gamma,[0.02],20.0,20,0.05154,0.0,0.05154,0.05154
Gamma,[0.02],20.0,30,0.05203,0.0,0.05203,0.05203
Gamma,[0.02],20.0,40,0.05181,0.0,0.05181,0.05181
Gamma,[0.02],20.0,100,0.04831,0.0,0.04831,0.04831
Gamma,[0.02],20.0,200,0.04503,0.0,0.04503,0.04503
Gamma,[0.02],20.0,300,0.04294,0.00137,0.04431,0.041569999999999996
Gamma,[0.02],20.0,400,0.04002,0.00384,0.04386,0.03618
Gamma,[0.02],20.0,1000,0.03556,0.01166,0.04722,0.0239
Gamma,[0.02],20.0,2000,0.03284,0.01559,0.04843,0.01725
Gamma,[0.02],20.0,3000,0.03117,0.01766,0.04883,0.013510000000000001
Gamma,[0.02],20.0,4000,0.03079,0.01846,0.04925,0.01233
Gamma,[0.02],20.0,5000,0.03035,0.01888,0.049229999999999996,0.011469999999999998
Gamma,[0.02],20.0,10000,0.02812,0.0215,0.04962,0.006620000000000001
LogNormal,"[0, 1]",6.1849,5,0.04333,0.0,0.04333,0.04333
LogNormal,"[0, 1]",6.1849,10,0.0433,0.0,0.0433,0.0433
