Distribution,Skewness,Sample_Size,Upper_Tail,Lower_Tail,Tail_Sum,Tail_Difference,Sampling_Mean,sampling_SD,Population_Mean,Population_SD
"LogNormal{Float64}(μ=0.0, σ=1.4865)",31.6526606803462,5,0.03107,0.0,0.03107,0.03107,0.002778408814790622,0.9942651321754126,3.018744827621592,8.598294837396292
"LogNormal{Float64}(μ=0.0, σ=1.4865)",31.6526606803462,10,0.03505,0.0,0.03505,0.03505,0.002303461068863632,0.976064808561191,3.018744827621592,8.598294837396292
"LogNormal{Float64}(μ=0.0, σ=1.4865)",31.6526606803462,20,0.03658,0.0,0.03658,0.03658,0.002821346391716921,0.9943673220263929,3.018744827621592,8.598294837396292
"LogNormal{Float64}(μ=0.0, σ=1.4865)",31.6526606803462,30,0.03788,0.0,0.03788,0.03788,0.00028429564727962286,0.98346309746523,3.018744827621592,8.598294837396292
"LogNormal{Float64}(μ=0.0, σ=1.4865)",31.6526606803462,40,0.03884,0.0,0.03884,0.03884,0.0014853924712612582,0.9826415653994076,3.018744827621592,8.598294837396292
"LogNormal{Float64}(μ=0.0, σ=1.4865)",31.6526606803462,100,0.03951,0.00017,0.03968000000000001,0.03934,0.0008392956206502764,0.9876056419778914,3.018744827621592,8.598294837396292
"LogNormal{Float64}(μ=0.0, σ=1.4865)",31.6526606803462,200,0.0373,0.00142,0.03872,0.03588,-0.0015779060482400934,0.9978281106236091,3.018744827621592,8.598294837396292
"LogNormal{Float64}(μ=0.0, σ=1.4865)",31.6526606803462,300,0.03812,0.00298,0.0411,0.035140000000000005,0.0004269872746580216,0.9941908828127741,3.018744827621592,8.598294837396292
"LogNormal{Float64}(μ=0.0, σ=1.4865)",31.6526606803462,400,0.03722,0.0043,0.04152,0.032920000000000005,0.000954987264853502,0.9995815256678742,3.018744827621592,8.598294837396292
"LogNormal{Float64}(μ=0.0, σ=1.4865)",31.6526606803462,1000,0.0356,0.00868,0.04428,0.02692,0.00025064493731499115,0.9907593831685858,3.018744827621592,8.598294837396292
"LogNormal{Float64}(μ=0.0, σ=1.4865)",31.6526606803462,2000,0.03526,0.01143,0.046689999999999995,0.02383,0.003104238583036308,0.9964055404622177,3.018744827621592,8.598294837396292
"LogNormal{Float64}(μ=0.0, σ=1.4865)",31.6526606803462,3000,0.03354,0.01358,0.04712,0.01996,-0.003284796355516359,1.002355970444882,3.018744827621592,8.598294837396292
"LogNormal{Float64}(μ=0.0, σ=1.4865)",31.6526606803462,4000,0.0327,0.0141,0.0468,0.0186,-0.004131438688217452,1.0039842985470486,3.018744827621592,8.598294837396292
"LogNormal{Float64}(μ=0.0, σ=1.4865)",31.6526606803462,5000,0.03205,0.0157,0.04775,0.016350000000000003,-0.0033650682556663775,1.0048326577860407,3.018744827621592,8.598294837396292
"LogNormal{Float64}(μ=0.0, σ=1.4865)",31.6526606803462,10000,0.03047,0.01801,0.04848,0.012459999999999999,-0.0037536168092231247,1.0035415194082526,3.018744827621592,8.598294837396292
Poisson{Float64}(λ=0.001),31.622776601683796,5,0.00522,0.0,0.00522,0.00522,0.003394112549695476,1.024948284153816,0.001,0.03162277660168379
Poisson{Float64}(λ=0.001),31.622776601683796,10,0.00993,0.0,0.00993,0.00993,-9.999999999995509e-5,1.0005148676056765,0.001,0.03162277660168379
Poisson{Float64}(λ=0.001),31.622776601683796,20,0.02019,0.0,0.02019,0.02019,0.002616295090390312,1.0078508384841114,0.001,0.03162277660168379
Poisson{Float64}(λ=0.001),31.622776601683796,30,0.03035,0.0,0.03035,0.03035,0.004503332099679082,1.0114823862197713,0.001,0.03162277660168379
Poisson{Float64}(λ=0.001),31.622776601683796,40,0.04022,0.0,0.04022,0.04022,0.004949999999999995,1.0105719717353643,0.001,0.03162277660168379
Poisson{Float64}(λ=0.001),31.622776601683796,100,0.09611,0.0,0.09611,0.09611,0.002181971585516237,1.0005624669417206,0.001,0.03162277660168379
Poisson{Float64}(λ=0.001),31.622776601683796,200,0.01797,0.0,0.01797,0.01797,0.006439875775199322,1.0080717683215321,0.001,0.03162277660168379
Poisson{Float64}(λ=0.001),31.622776601683796,300,0.03781,0.0,0.03781,0.03781,0.004984275273297115,1.0066240393444978,0.001,0.03162277660168379
Poisson{Float64}(λ=0.001),31.622776601683796,400,0.06296,0.0,0.06296,0.06296,0.006055761719222417,1.0062000060298755,0.001,0.03162277660168379
Poisson{Float64}(λ=0.001),31.622776601683796,1000,0.07977,0.0,0.07977,0.07977,0.00588,1.0018260638227685,0.001,0.03162277660168379
Poisson{Float64}(λ=0.001),31.622776601683796,2000,0.05327,0.0,0.05327,0.05327,0.004292138161802325,0.9991679342911328,0.001,0.03162277660168379
Poisson{Float64}(λ=0.001),31.622776601683796,3000,0.03385,0.0,0.03385,0.03385,0.005998669296880169,0.9981469392194333,0.001,0.03162277660168379
Poisson{Float64}(λ=0.001),31.622776601683796,4000,0.0525,0.01821,0.07071,0.03429,0.005805,1.001268608997243,0.001,0.03162277660168379
Poisson{Float64}(λ=0.001),31.622776601683796,5000,0.0319,0.00663,0.038529999999999995,0.025269999999999997,0.004445303139269501,1.0026197144196387,0.001,0.03162277660168379
Poisson{Float64}(λ=0.001),31.622776601683796,10000,0.02693,0.01066,0.03759,0.01627,-0.00010751744044582836,1.0014060198441819,0.001,0.03162277660168379
"Gamma{Float64}(α=0.02, θ=1.0)",14.142135623730951,5,0.03894,0.0,0.03894,0.03894,0.003966592490891154,1.0041564026665777,0.02,0.1414213562373095
"Gamma{Float64}(α=0.02, θ=1.0)",14.142135623730951,10,0.047,0.0,0.047,0.047,0.008634861174890401,1.014568637447623,0.02,0.1414213562373095
"Gamma{Float64}(α=0.02, θ=1.0)",14.142135623730951,20,0.05154,0.0,0.05154,0.05154,0.007862216147233814,1.0110241426784512,0.02,0.1414213562373095
"Gamma{Float64}(α=0.02, θ=1.0)",14.142135623730951,30,0.05203,0.0,0.05203,0.05203,0.007245124319935162,1.0068600491185642,0.02,0.1414213562373095
"Gamma{Float64}(α=0.02, θ=1.0)",14.142135623730951,40,0.05181,0.0,0.05181,0.05181,0.004748823537099755,1.0021406041566914,0.02,0.1414213562373095
"Gamma{Float64}(α=0.02, θ=1.0)",14.142135623730951,100,0.04831,0.0,0.04831,0.04831,0.000883209736117285,0.9999537045164797,0.02,0.1414213562373095
"Gamma{Float64}(α=0.02, θ=1.0)",14.142135623730951,200,0.04503,0.0,0.04503,0.04503,-3.527603967927007e-5,0.9976251267016323,0.02,0.1414213562373095
"Gamma{Float64}(α=0.02, θ=1.0)",14.142135623730951,300,0.04294,0.00137,0.04431,0.041569999999999996,-0.003191096853650426,0.9973924720142575,0.02,0.1414213562373095
"Gamma{Float64}(α=0.02, θ=1.0)",14.142135623730951,400,0.04003,0.00384,0.043870000000000006,0.03619,-0.003981671523748561,0.9946268354202804,0.02,0.1414213562373095
"Gamma{Float64}(α=0.02, θ=1.0)",14.142135623730951,1000,0.03556,0.01166,0.04722,0.0239,-0.003056412491128729,0.9983601462430621,0.02,0.1414213562373095
"Gamma{Float64}(α=0.02, θ=1.0)",14.142135623730951,2000,0.03284,0.01559,0.04843,0.01725,-0.0009379303339825754,0.9966466953355803,0.02,0.1414213562373095
"Gamma{Float64}(α=0.02, θ=1.0)",14.142135623730951,3000,0.03117,0.01766,0.04883,0.013510000000000001,-0.0009601094425489295,0.99653907404825,0.02,0.1414213562373095
"Gamma{Float64}(α=0.02, θ=1.0)",14.142135623730951,4000,0.03079,0.01846,0.04925,0.01233,-0.0016490170333988798,0.9984232741871708,0.02,0.1414213562373095
"Gamma{Float64}(α=0.02, θ=1.0)",14.142135623730951,5000,0.03036,0.01888,0.049240000000000006,0.01148,-0.0031516852036657873,0.9949401983442542,0.02,0.1414213562373095
"Gamma{Float64}(α=0.02, θ=1.0)",14.142135623730951,10000,0.02812,0.0215,0.04962,0.006620000000000001,-0.0008700645178441124,1.0024154695983736,0.02,0.1414213562373095
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,5,0.04333,0.0,0.04333,0.04333,0.0031501407873239877,1.0035222665622328,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,10,0.0433,0.0,0.0433,0.0433,0.0032601729985311046,0.9983481019695609,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,20,0.04204,0.00087,0.042910000000000004,0.04117,0.0038076344732258572,1.0025373137045874,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,30,0.04072,0.00254,0.04326,0.03818,0.002218349084946576,0.999760165495404,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,40,0.04005,0.00349,0.04354,0.03656,0.003680002018764341,1.0008821939318908,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,100,0.0372,0.00955,0.04675,0.027649999999999997,0.001469015218202396,1.001105596972366,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,200,0.03395,0.01368,0.04763,0.020270000000000003,-0.002339922959093197,0.9993916276325194,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,300,0.03332,0.01563,0.04895000000000001,0.01769,-0.0002535567521210747,0.9995708693807295,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,400,0.03229,0.01663,0.04892,0.01566,0.00031133443587053305,1.0001699104697248,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,1000,0.0296,0.01946,0.049060000000000006,0.01014,-4.11806356972599e-5,0.9934133559621618,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,2000,0.02951,0.02015,0.04966,0.00936,0.003338131532453653,0.997811479068932,1.6487212707001282,2.1611974158950877
