Distribution,Params,Skewness,Sample_Size,Upper_Tail,Lower_Tail,Tail_Sum,Tail_Difference
LogNormal,"[0.0, 1.4865]",31.65266,5,0.01715,0.0,0.01715,0.01715
LogNormal,"[0.0, 1.4865]",31.65266,10,0.02724,0.0,0.02724,0.02724
LogNormal,"[0.0, 1.4865]",31.65266,20,0.03238,0.0,0.03238,0.03238
LogNormal,"[0.0, 1.4865]",31.65266,30,0.03497,0.0,0.03497,0.03497
LogNormal,"[0.0, 1.4865]",31.65266,40,0.03636,0.0,0.03636,0.03636
LogNormal,"[0.0, 1.4865]",31.65266,100,0.03846,0.00013,0.03859,0.03833
LogNormal,"[0.0, 1.4865]",31.65266,200,0.03677,0.00133,0.038099999999999995,0.03544
LogNormal,"[0.0, 1.4865]",31.65266,300,0.03778,0.0028,0.04058,0.034980000000000004
LogNormal,"[0.0, 1.4865]",31.65266,400,0.03694,0.00413,0.04107,0.03281
LogNormal,"[0.0, 1.4865]",31.65266,1000,0.03546,0.00862,0.044079999999999994,0.02684
LogNormal,"[0.0, 1.4865]",31.65266,2000,0.03515,0.01138,0.04653,0.02377
LogNormal,"[0.0, 1.4865]",31.65266,3000,0.03349,0.01357,0.04706,0.01992
LogNormal,"[0.0, 1.4865]",31.65266,4000,0.03264,0.01408,0.046720000000000005,0.01856
LogNormal,"[0.0, 1.4865]",31.65266,5000,0.03203,0.01569,0.04772,0.016340000000000004
LogNormal,"[0.0, 1.4865]",31.65266,10000,0.03045,0.018,0.04845,0.012450000000000003
Poisson,[0.001],31.6228,5,0.00522,0.0,0.00522,0.00522
Poisson,[0.001],31.6228,10,0.00993,0.0,0.00993,0.00993
Poisson,[0.001],31.6228,20,0.02019,0.0,0.02019,0.02019
Poisson,[0.001],31.6228,30,0.03035,0.0,0.03035,0.03035
Poisson,[0.001],31.6228,40,0.04022,0.0,0.04022,0.04022
Poisson,[0.001],31.6228,100,0.09611,0.0,0.09611,0.09611
Poisson,[0.001],31.6228,200,0.01797,0.0,0.01797,0.01797
Poisson,[0.001],31.6228,300,0.03781,0.0,0.03781,0.03781
Poisson,[0.001],31.6228,400,0.06296,0.0,0.06296,0.06296
Poisson,[0.001],31.6228,1000,0.07977,0.0,0.07977,0.07977
Poisson,[0.001],31.6228,2000,0.05327,0.0,0.05327,0.05327
Poisson,[0.001],31.6228,3000,0.03385,0.0,0.03385,0.03385
Poisson,[0.001],31.6228,4000,0.0525,0.01821,0.07071,0.03429
Poisson,[0.001],31.6228,5000,0.0319,0.00663,0.038529999999999995,0.025269999999999997
Poisson,[0.001],31.6228,10000,0.02693,0.01066,0.03759,0.01627
Gamma,[0.02],20.0,5,0.02546,0.0,0.02546,0.02546
Gamma,[0.02],20.0,10,0.03871,0.0,0.03871,0.03871
Gamma,[0.02],20.0,20,0.04656,0.0,0.04656,0.04656
Gamma,[0.02],20.0,30,0.04833,0.0,0.04833,0.04833
Gamma,[0.02],20.0,40,0.04898,0.0,0.04898,0.04898
Gamma,[0.02],20.0,100,0.04694,0.0,0.04694,0.04694
Gamma,[0.02],20.0,200,0.04438,0.0,0.04438,0.04438
