n,Median,Skewness,samplen,adjustedsamplen,populationn,basicn
5,0.7955791775542176,2.0,23,100,144,39
10,1.1020772081927694,2.0,44,143,144,74
20,1.3382767662852422,2.0,64,163,144,109
30,1.454955964396349,2.0,76,168,144,129
40,1.5298179945856383,2.0,84,169,144,142
50,1.58289111046441,2.0,90,169,144,152
60,1.6238397115723284,2.0,95,169,144,160
70,1.6544580718619573,2.0,99,167,144,167
80,1.6806964093603298,2.0,102,166,144,172
90,1.7015327150186375,2.0,104,165,144,176
100,1.7198653974596378,2.0,106,164,144,180
125,1.7561443268781876,2.0,111,161,144,188
150,1.7825539487570832,2.0,114,158,144,193
175,1.8034751754752074,2.0,117,155,144,198
200,1.8199855786340988,2.0,119,153,144,202
250,1.844787825872403,2.0,123,149,144,207
300,1.8634849818846058,2.0,125,145,144,211
350,1.8777019417038208,2.0,127,142,144,215
400,1.8889404434307837,2.0,128,140,144,217
450,1.8977131787517818,2.0,130,137,144,219
500,1.9054411196540206,2.0,131,135,144,221
5,1.0155480042670622,2.5,37,163,225,63
10,1.3414409049293223,2.5,65,212,225,109
20,1.615287354803987,2.5,94,237,225,159
30,1.758892805935044,2.5,111,245,225,188
40,1.8533287427166028,2.5,124,248,225,209
50,1.9212970732453638,2.5,133,249,225,225
60,1.9729136316269669,2.5,140,249,225,237
70,2.0143362244637055,2.5,146,248,225,247
80,2.0478222405469815,2.5,151,247,225,255
90,2.076242713249531,2.5,155,246,225,262
100,2.0998860194327706,2.5,159,244,225,268
125,2.149222919377097,2.5,166,241,225,281
150,2.1846950269425784,2.5,172,237,225,290
175,2.212783562398332,2.5,176,234,225,298
200,2.23611171070997,2.5,180,231,225,304
250,2.271021157852713,2.5,186,226,225,314
300,2.2959853283365037,2.5,190,221,225,321
350,2.3165707436563476,2.5,193,217,225,326
400,2.331847277121933,2.5,196,213,225,331
450,2.3450405098035745,2.5,198,210,225,335
500,2.3564009971743056,2.5,200,207,225,338
5,0.7955791775542176,2.0,23,100,144,39
10,1.1020772081927694,2.0,44,143,144,74
20,1.3382767662852422,2.0,64,163,144,109
30,1.454955964396349,2.0,76,168,144,129
40,1.5298179945856383,2.0,84,169,144,142
50,1.58289111046441,2.0,90,169,144,152
60,1.6238397115723284,2.0,95,169,144,160
70,1.6544580718619573,2.0,99,167,144,167
80,1.6806964093603298,2.0,102,166,144,172
90,1.7015327150186375,2.0,104,165,144,176
100,1.7198653974596378,2.0,106,164,144,180
125,1.7561443268781876,2.0,111,161,144,188
150,1.7825539487570832,2.0,114,158,144,193
175,1.8034751754752074,2.0,117,155,144,198
200,1.8199855786340988,2.0,119,153,144,202
250,1.844787825872403,2.0,123,149,144,207
300,1.8634849818846058,2.0,125,145,144,211
350,1.8777019417038208,2.0,127,142,144,215
400,1.8889404434307837,2.0,128,140,144,217
450,1.8977131787517818,2.0,130,137,144,219
500,1.9054411196540206,2.0,131,135,144,221
5,0.2131507641505168,0.5,2,7,9,3
10,0.28378489539262886,0.5,3,9,9,5
20,0.3547485563483246,0.5,5,11,9,8
30,0.3878863123924259,0.5,5,12,9,9
40,0.40769829252531153,0.5,6,12,9,10
50,0.4213742489119661,0.5,6,12,9,11
60,0.4311278121520875,0.5,7,12,9,11
70,0.43879725091080773,0.5,7,12,9,12
80,0.4443054820857281,0.5,7,12,9,12
90,0.4494301687981044,0.5,7,12,9,12
100,0.45309999809134593,0.5,7,11,9,12
125,0.4611140629488013,0.5,8,11,9,13
150,0.46645986439256537,0.5,8,11,9,13
175,0.470354458033258,0.5,8,11,9,13
200,0.4733155064463934,0.5,8,10,9,14
250,0.47799044626742543,0.5,8,10,9,14
300,0.4814725676672832,0.5,8,10,9,14
350,0.4835927301472433,0.5,8,9,9,14
400,0.48559716351973065,0.5,8,9,9,14
450,0.4869527361890231,0.5,9,9,9,14
500,0.4882030004630762,0.5,9,9,9,15
5,0.5744850188801081,1.414213562373095,12,52,72,20
10,0.7972096558255191,1.414213562373095,23,75,72,39
20,0.9781547641745746,1.414213562373095,34,87,72,58
30,1.0636479002135892,1.414213562373095,41,90,72,69
40,1.1172985766986574,1.414213562373095,45,90,72,76
50,1.1545786163560778,1.414213562373095,48,90,72,81
60,1.18222912439886,1.414213562373095,50,89,72,85
70,1.2029496233097823,1.414213562373095,52,88,72,88
80,1.2203453110468547,1.414213562373095,54,88,72,91
90,1.234889146809101,1.414213562373095,55,87,72,93
100,1.24682018379762,1.414213562373095,56,86,72,95
125,1.2705529993283893,1.414213562373095,58,84,72,98
150,1.2877269822407733,1.414213562373095,60,82,72,101
175,1.3006906978234904,1.414213562373095,61,81,72,103
200,1.3110428483933403,1.414213562373095,62,79,72,105
250,1.3265322658776388,1.414213562373095,63,77,72,107
300,1.3376969991739665,1.414213562373095,64,75,72,109
350,1.3458025651754952,1.414213562373095,65,73,72,110
400,1.3527882142529517,1.414213562373095,66,72,72,111
450,1.3583155937013367,1.414213562373095,66,70,72,112
500,1.3625235919010925,1.414213562373095,67,69,72,113
5,0.41949302298157715,1.0,6,28,36,11
10,0.5680326343439511,1.0,12,38,36,20
20,0.7027343217795161,1.0,18,45,36,30
30,0.7658238660696961,1.0,21,46,36,36
40,0.804887107910097,1.0,23,47,36,39
50,0.8307088458773657,1.0,25,47,36,42
60,0.8499783613696311,1.0,26,46,36,44
70,0.8650657958366479,1.0,27,46,36,46
80,0.8769617709221255,1.0,28,45,36,47
90,0.8864672972394392,1.0,28,45,36,48
100,0.8949087202621056,1.0,29,44,36,49
125,0.910319461760027,1.0,30,43,36,50
150,0.9224573549190638,1.0,31,42,36,52
175,0.9305139484970819,1.0,31,41,36,53
200,0.9370147296052167,1.0,32,41,36,53
250,0.9475126389400934,1.0,32,39,36,55
300,0.9546177381813565,1.0,33,38,36,55
350,0.9596567976274666,1.0,33,37,36,56
400,0.9639494856457254,1.0,33,36,36,57
450,0.9674078084674085,1.0,34,36,36,57
500,0.9701867624592685,1.0,34,35,36,57
5,0.3095289686019188,0.7782516357974832,3,15,22,6
10,0.4186054405230768,0.7782516357974832,6,21,22,11
20,0.5268922653687458,0.7782516357974832,10,25,22,17
30,0.578761829703477,0.7782516357974832,12,27,22,20
40,0.6102085922851148,0.7782516357974832,13,27,22,23
50,0.6322763710237926,0.7782516357974832,14,27,22,24
60,0.6484773193824455,0.7782516357974832,15,27,22,26
70,0.660766428595128,0.7782516357974832,16,27,22,27
80,0.670925427448726,0.7782516357974832,16,26,22,27
90,0.6786860162259851,0.7782516357974832,17,26,22,28
100,0.6861560934721957,0.7782516357974832,17,26,22,29
125,0.6994408260915801,0.7782516357974832,18,25,22,30
150,0.7097678820043698,0.7782516357974832,18,25,22,31
175,0.7171198022191521,0.7782516357974832,19,25,22,31
200,0.7228557882543145,0.7782516357974832,19,24,22,32
250,0.7314981166657025,0.7782516357974832,19,23,22,33
300,0.737532155491537,0.7782516357974832,20,23,22,33
350,0.7420463778540076,0.7782516357974832,20,22,22,34
400,0.7457830474214541,0.7782516357974832,20,22,22,34
450,0.7487528897119772,0.7782516357974832,20,21,22,34
500,0.751123000865834,0.7782516357974832,20,21,22,34
5,0.5655450829914159,1.7501896550697178,12,51,110,19
10,0.8054900396348319,1.7501896550697178,23,76,110,39
20,1.020240212820871,1.7501896550697178,37,95,110,63
30,1.1325844875254134,1.7501896550697178,46,102,110,78
40,1.2038973211133044,1.7501896550697178,52,105,110,88
50,1.2565422701125506,1.7501896550697178,57,107,110,96
60,1.295652049263813,1.7501896550697178,60,107,110,102
70,1.3271143173933209,1.7501896550697178,63,108,110,107
80,1.3546300720285251,1.7501896550697178,66,108,110,112
90,1.3759268955113615,1.7501896550697178,68,108,110,115
100,1.3955764273407891,1.7501896550697178,70,108,110,118
125,1.4339631424950428,1.7501896550697178,74,107,110,125
150,1.463399715988476,1.7501896550697178,77,106,110,130
175,1.4865991514168697,1.7501896550697178,80,106,110,134
200,1.5049715432169104,1.7501896550697178,82,105,110,138
250,1.5338273096353523,1.7501896550697178,85,103,110,143
300,1.5553500225364387,1.7501896550697178,87,101,110,147
350,1.571364071916721,1.7501896550697178,89,100,110,150
400,1.5850390395926137,1.7501896550697178,90,98,110,153
450,1.5968053763227346,1.7501896550697178,92,97,110,155
500,1.6065921865821786,1.7501896550697178,93,96,110,157
5,0.7867368322232993,3.262912728207002,22,98,383,38
10,1.1441785051188134,3.262912728207002,47,154,383,80
20,1.467250521774511,3.262912728207002,78,196,383,131
30,1.6500466932993247,3.262912728207002,98,216,383,166
40,1.7742499608650277,3.262912728207002,113,228,383,192
50,1.8683585826078621,3.262912728207002,126,236,383,212
60,1.941660926004662,3.262912728207002,136,241,383,229
70,2.0032507916660505,3.262912728207002,144,245,383,244
80,2.0574598930243386,3.262912728207002,152,249,383,258
90,2.1012961471618032,3.262912728207002,159,252,383,269
100,2.1417832662243006,3.262912728207002,165,254,383,279
125,2.2242008425936763,3.262912728207002,178,258,383,301
150,2.289298743579671,3.262912728207002,189,260,383,319
175,2.3430923971298308,3.262912728207002,198,262,383,334
200,2.3866930349343223,3.262912728207002,205,263,383,347
250,2.4579723161419667,3.262912728207002,217,264,383,368
300,2.5125618448383253,3.262912728207002,227,264,383,384
350,2.5566525865224756,3.262912728207002,235,264,383,398
400,2.594028173970177,3.262912728207002,242,263,383,409
450,2.6265408956607894,3.262912728207002,248,263,383,420
