Distribution,Skewness,Sample Size,Upper Tail,Lower Tail,Sampling Skewness,Sampling Kurtosis,Population Mean,Population SD
Exponential{Float64}(θ=1.0),2.0,5,0.0433771,0.0004502,0.8960061059487237,1.2044365160281485,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,10,0.0392702,0.0058577,0.6319115974937847,0.5976625087414358,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,20,0.0358335,0.0114045,0.44812621603155983,0.30116407742114815,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,30,0.0340751,0.0140491,0.3652996097111756,0.2007844164809809,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,40,0.0329736,0.0155582,0.3170146164888523,0.14971696347588903,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,50,0.0321545,0.0166568,0.2827367239781189,0.11969014511084453,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,60,0.0316557,0.0173328,0.25911363094740075,0.09938499211364338,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,70,0.0311965,0.0179348,0.24054495580691632,0.08844704744813559,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,80,0.0308126,0.0184549,0.22397283474836946,0.07818859153924995,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,90,0.0304579,0.0188245,0.2105198047011924,0.06515050377281728,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,100,0.0302542,0.0191578,0.20047499446519504,0.06077139998643055,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,125,0.0297138,0.0198005,0.17989966424587364,0.04973255474738192,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,150,0.0293688,0.0203017,0.16433210096538922,0.04258191283556645,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,175,0.0290167,0.0206147,0.15274576540865836,0.036779296132988915,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,200,0.0287535,0.0209102,0.14171808348440124,0.030294517945693933,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,250,0.0283621,0.0213547,0.1275312765699465,0.02541926756565216,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,300,0.028102,0.0216416,0.11583553230800499,0.022478539417686516,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,350,0.0279574,0.0219697,0.10772447210415245,0.021565627588798097,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,400,0.0276754,0.0221487,0.09961554928168957,0.018564263614809118,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,450,0.02758,0.0222821,0.09488338177556901,0.01576746961159481,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,500,0.0274224,0.0224493,0.0889200537391437,0.01372534460205399,1.0,1.0
"Gamma{Float64}(α=0.64, θ=1.0)",2.5,5,0.0460801,0.0,1.1163248002521708,1.8686756237797386,0.64,0.8
"Gamma{Float64}(α=0.64, θ=1.0)",2.5,10,0.0419092,0.0019789,0.7905209059770102,0.9353861973004687,0.64,0.8
"Gamma{Float64}(α=0.64, θ=1.0)",2.5,20,0.037929,0.0079855,0.5567679312075787,0.46233127624077985,0.64,0.8
"Gamma{Float64}(α=0.64, θ=1.0)",2.5,30,0.0359593,0.0111563,0.45569663200958205,0.31187165867800104,0.64,0.8
