distribution,pop_skewness,sample_size,mean_sampling_skewness,median_sampling_skewness,lower_quantile,upper_quantile
"Gamma (α = 16, θ = 1)",0.5,10,0.30863610029724337,0.2872859378928242,0.022489739033244357,1.7746463309965486
"Log-normal (μ = 0, σ = 0.25)",0.7782516357974832,10,0.4497995014388785,0.41722339821350674,0.024609770491274663,1.9537257950890063
"Gamma (α = 4, θ = 1)",1,10,0.6067423553683753,0.5697903626520899,0.029788542634829916,2.115745445001961
"Log-normal (μ = 0, σ = 0.35)",1.1300370516687537,10,0.6195571374751951,0.5767099825075312,0.029658139219021187,2.179066459996516
"Gamma (α = 2.56, θ = 1)",1.25,10,0.7536427586843182,0.7094864352092772,0.0361600110189494,2.275076581635735
"Log-normal (μ = 0, σ = 0.4)",1.3219144053987633,10,0.707233153532845,0.6578179324082227,0.032297341050423624,2.2977871747937177
"Gamma (α = 2, θ = 1)",1.4142135623730951,10,0.8414152245018923,0.7951119367753262,0.042150276813393533,2.3639892627479644
"Gamma (α = 1.78, θ = 1)",1.499063377991723,10,0.8895561067735303,0.841246874123784,0.04567487302684235,2.4160446173485375
"Log-normal (μ = 0, σ = 0.45)",1.527659506242575,10,0.7812083204826814,0.7312038003178836,0.0360954642650144,2.3963630926196147
"Gamma (α = 1.31, θ = 1)",1.7474081133220758,10,1.0238415552492364,0.975071050993921,0.0604317324337184,2.5480318648749942
"Log-normal (μ = 0, σ = 0.5)",1.7501896550697178,10,0.8572653775724003,0.8037789772748916,0.04003186877374118,2.476710748189913
"Gamma (α = 1, θ = 1)",2,10,1.150807719068624,1.097298826331414,0.08157774967572186,2.6696167011461176
"Log-normal (μ = 0, σ = 0.55)",1.992956625406344,10,0.9331517545963863,0.8767968149114636,0.045662697174788346,2.5581679172031637
"Gamma (α = 0.79, θ = 1)",2.250175801852048,10,1.2704034483314526,1.2251065825909004,0.1074825227332587,2.763514433463725
"Log-normal (μ = 0, σ = 0.6)",2.2600838884867054,10,1.0027054202639656,0.9449994233597148,0.051526850922893226,2.6381634259380413
"Gamma (α = 0.64, θ = 1)",2.5,10,1.3869124133691506,1.3376945071793376,0.14581954644049303,2.8571533469699824
"Log-normal (μ = 0, σ = 0.65)",2.5565396521582318,10,1.0740232796588187,1.0149431175132673,0.05774210181562512,2.7157245844194247
"Gamma (α = 0.53, θ = 1)",2.7472112789737806,10,1.4848130397203958,1.4455562557537418,0.19029226610135108,2.919968521713265
"Log-normal (μ = 0, σ = 0.7)",2.8883566031310934,10,1.1404967792755838,1.0830608922871359,0.0655355193989044,2.7599042113436636
"Gamma (α = 0.44, θ = 1)",3.0151134457776365,10,1.5918367011572432,1.5567037150580667,0.25498479989292433,2.9864298624799064
"Log-normal (μ = 0, σ = 0.75)",3.262912728207002,10,1.200845422481424,1.140099307030345,0.07262889432765268,2.8115489216557497
"Gamma (α = 16, θ = 1)",0.5,20,0.3860238748661091,0.35528762983236617,0.019385164951765045,1.5301183275371544
"Log-normal (μ = 0, σ = 0.25)",0.7782516357974832,20,0.5780260032584241,0.5284408655836426,0.025732377315221662,1.8697002219380923
"Gamma (α = 4, θ = 1)",1,20,0.7585809703450949,0.7017985663194359,0.04135642560168447,2.075139197382081
