Distribution,Skewness,Sample Size,Upper Tail,Lower Tail,Sampling Skewness,Sampling Kurtosis,Population Mean,Population SD
Exponential{Float64}(θ=1.0),2.0,5,0.0002929,0.0225095,-5.520125714837132,123.02516092438697,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,10,0.0006393,0.0327354,-1.9049430521304072,9.001839562341502,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,20,0.0028204,0.03598,-1.0983377619886892,2.836499097663925,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,30,0.0051864,0.036126,-0.8415381374584237,1.6768146752781021,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,40,0.007123,0.0357419,-0.7036047269475467,1.1849088301374273,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,50,0.0086589,0.0353311,-0.617350317603297,0.9219709767554507,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,60,0.0099215,0.0349007,-0.5550102918051575,0.7515368405448117,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,70,0.0109735,0.0344995,-0.5081947285683377,0.6359840567875215,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,80,0.0118201,0.0341537,-0.4731577486555345,0.5541308434312269,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,90,0.0125274,0.0338169,-0.44209581365280487,0.4807097569229901,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,100,0.0131801,0.0335418,-0.4180534962363039,0.4354619417018668,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,125,0.0143944,0.0328529,-0.3700222818785388,0.3440808983303789,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,150,0.0153145,0.0324183,-0.33591714823472957,0.2874971936637274,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,175,0.0161094,0.0319598,-0.3086253963316015,0.24265571083673976,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,200,0.0166023,0.0315813,-0.288863119051916,0.21047040917550497,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,250,0.0175394,0.0310436,-0.2568069732268859,0.16859060701844752,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,300,0.018199,0.0305515,-0.23444397007693327,0.14333994903106761,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,350,0.0187884,0.0302229,-0.21654160275139364,0.1254848936372026,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,400,0.0191196,0.0299634,-0.2033987400197349,0.11040551069922167,1.0,1.0
